Cuisine,Dish Name,Ingredients,Procedure
Ghanaian,Ghanaian Specialty,"Ghanaian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Ghanaian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hungarian,Goulash,"beef, onions, paprika, tomatoes, potatoes, garlic, caraway seeds, salt, pepper, oil","Brown beef with onions and garlic, add paprika and tomatoes, then simmer with potatoes until tender."
Mexican,Chicken Enchiladas,"chicken, corn tortillas, enchilada sauce, cheese, onions, garlic, cumin, chili powder, salt, oil","Shred cooked chicken and mix with sautéed onions, garlic, and spices. Fill tortillas with the mixture, roll them up, cover with sauce and cheese, and bake."
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Australian,Meat Pie,"minced meat, onions, gravy, puff pastry, salt, pepper, herbs","Cook minced meat with onions and herbs in gravy. Fill puff pastry rounds with the mixture, seal and bake until golden."
Iraqi,Iraqi Specialty,"Iraqi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Iraqi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indonesian,Nasi Goreng,"rice, shrimp, chicken, vegetables, kecap manis, garlic, shallots, egg, chili, salt, oil","Stir-fry garlic and shallots, add shrimp and chicken. Mix in rice and kecap manis, fry until well combined, then top with a fried egg."
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Persian,Ghormeh Sabzi,"lamb, kidney beans, spinach, parsley, cilantro, fenugreek, dried limes, onions, garlic, turmeric, oil, salt, pepper","Brown lamb with onions and garlic, add herbs, beans, and dried limes, then simmer until tender."
Cuban,Ropa Vieja,"shredded beef, bell peppers, tomatoes, onions, garlic, cumin, oregano, olive oil, salt, pepper","Slow-cook beef until tender and shred it. Sauté vegetables with spices, add beef back, and simmer until the flavors meld."
Serbian,Serbian Specialty,"Serbian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Serbian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Bangladeshi,Bangladeshi Specialty,"Bangladeshi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bangladeshi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Thai,Green Curry,"chicken, green curry paste, coconut milk, bamboo shoots, Thai basil, bell peppers, fish sauce, sugar, oil","Sauté green curry paste in oil, add chicken and cook until sealed. Pour in coconut milk with bamboo shoots and peppers, simmer, then season with fish sauce and sugar. Garnish with basil."
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Singaporean,Hainanese Chicken Rice,"chicken, rice, ginger, garlic, pandan leaves, chicken broth, cucumber, chili sauce, salt, oil","Poach chicken with ginger and pandan leaves. Cook rice in chicken broth with garlic, then serve sliced chicken over the rice with cucumber and chili sauce."
Turkish,Turkish Specialty,"Turkish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Korean,Bibimbap,"rice, beef, spinach, bean sprouts, carrots, zucchini, shiitake mushrooms, egg, gochujang, sesame oil, garlic, soy sauce","Cook rice and separately sauté vegetables and beef with garlic and soy sauce. Top the rice with veggies and a fried egg, then drizzle with gochujang and sesame oil."
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
Romanian,Romanian Specialty,"Romanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Romanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kenyan,Kenyan Specialty,"Kenyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kenyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tunisian,Tunisian Specialty,"Tunisian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tunisian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peranakan,Peranakan Specialty,"Peranakan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peranakan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Colombian,Colombian Specialty,"Colombian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Colombian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hawaiian,Hawaiian Specialty,"Hawaiian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Hawaiian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Colombian,Colombian Specialty,"Colombian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Colombian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Polynesian,Polynesian Specialty,"Polynesian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Polynesian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,Bratwurst with Sauerkraut,"bratwurst, sauerkraut, onions, mustard, oil, salt, pepper",Grill bratwurst until cooked. Sauté sauerkraut with onions and serve in a bun with mustard.
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Lebanese,Tabbouleh,"bulgur wheat, parsley, mint, tomatoes, cucumbers, lemon juice, olive oil, salt, pepper","Soak bulgur wheat until soft, then mix with finely chopped parsley, mint, tomatoes, and cucumbers. Season with lemon juice, olive oil, salt, and pepper."
Australian,Meat Pie,"minced meat, onions, gravy, puff pastry, salt, pepper, herbs","Cook minced meat with onions and herbs in gravy. Fill puff pastry rounds with the mixture, seal and bake until golden."
Bangladeshi,Bangladeshi Specialty,"Bangladeshi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bangladeshi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Scottish,Scottish Specialty,"Scottish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Scottish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Venezuelan,Venezuelan Specialty,"Venezuelan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Venezuelan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Cuban,Ropa Vieja,"shredded beef, bell peppers, tomatoes, onions, garlic, cumin, oregano, olive oil, salt, pepper","Slow-cook beef until tender and shred it. Sauté vegetables with spices, add beef back, and simmer until the flavors meld."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uruguayan,Uruguayan Specialty,"Uruguayan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uruguayan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Belgian,Moules-Frites,"mussels, potatoes, white wine, garlic, shallots, parsley, butter, salt, pepper",Steam mussels in white wine with garlic and shallots. Serve with crispy fries tossed in parsley and butter.
Bangladeshi,Bangladeshi Specialty,"Bangladeshi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bangladeshi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Turkish,Kebap,"lamb, onions, garlic, yogurt, cumin, paprika, salt, pepper, olive oil, lemon juice","Marinate lamb in yogurt, spices, and lemon juice. Skewer and grill until tender, then serve with rice or flatbread."
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Palestinian,Palestinian Specialty,"Palestinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Palestinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Chicken Shawarma,"chicken, yogurt, lemon juice, garlic, cumin, coriander, paprika, turmeric, salt, pepper, pita bread","Marinate chicken in yogurt, lemon, and spices, then roast until cooked. Slice thinly and serve in pita with salad and sauce."
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kazakh,Kazakh Specialty,"Kazakh spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kazakh spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
American,Classic Burger,"ground beef, hamburger buns, lettuce, tomato, cheddar cheese, onions, pickles, salt, pepper, condiments","Form ground beef into patties, season and grill to desired doneness. Assemble on a bun with fresh vegetables and condiments."
Japanese,Ramen,"ramen noodles, chicken broth, soy sauce, miso, garlic, ginger, scallions, pork slices, boiled egg","Simmer broth with soy, miso, garlic, and ginger. Cook noodles separately, then assemble with pork slices, boiled egg, and scallions."
Estonian,Estonian Specialty,"Estonian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Estonian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Chicken Shawarma,"chicken, yogurt, lemon juice, garlic, cumin, coriander, paprika, turmeric, salt, pepper, pita bread","Marinate chicken in yogurt, lemon, and spices, then roast until cooked. Slice thinly and serve in pita with salad and sauce."
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Chicken Shawarma,"chicken, yogurt, lemon juice, garlic, cumin, coriander, paprika, turmeric, salt, pepper, pita bread","Marinate chicken in yogurt, lemon, and spices, then roast until cooked. Slice thinly and serve in pita with salad and sauce."
Lithuanian,Lithuanian Specialty,"Lithuanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Lithuanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peranakan,Peranakan Specialty,"Peranakan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peranakan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Japanese,Ramen,"ramen noodles, chicken broth, soy sauce, miso, garlic, ginger, scallions, pork slices, boiled egg","Simmer broth with soy, miso, garlic, and ginger. Cook noodles separately, then assemble with pork slices, boiled egg, and scallions."
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Venezuelan,Venezuelan Specialty,"Venezuelan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Venezuelan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Japanese,Salmon Nigiri Sushi,"sushi rice, rice vinegar, sugar, salt, fresh salmon, wasabi, soy sauce","Prepare sushi rice with rice vinegar, sugar, and salt. Slice salmon thinly and mold rice into ovals. Top with salmon and a dab of wasabi; serve with soy sauce."
Chinese,Kung Pao Chicken,"chicken, peanuts, dried chili peppers, Sichuan peppercorns, soy sauce, vinegar, sugar, garlic, ginger, scallions, cornstarch, oil","Marinate chicken with soy sauce and cornstarch. Stir-fry garlic, ginger, and chili peppers, add chicken and a sauce of vinegar and sugar, then toss in peanuts until thickened."
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nigerian,Nigerian Specialty,"Nigerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nigerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Middle Eastern,Middle Eastern Specialty,"Middle Eastern spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Middle Eastern spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Polynesian,Polynesian Specialty,"Polynesian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Polynesian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dominican,Dominican Specialty,"Dominican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dominican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Senegalese,Senegalese Specialty,"Senegalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Senegalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hawaiian,Hawaiian Specialty,"Hawaiian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Hawaiian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uruguayan,Uruguayan Specialty,"Uruguayan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uruguayan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Argentinian,Asado,"beef ribs, chorizo, salt, pepper, chimichurri, garlic, olive oil, vinegar",Season meats with salt and pepper and grill slowly over coals. Serve with a tangy chimichurri sauce.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Vietnamese,Banh Mi,"baguette, pork, pickled vegetables, cilantro, chili, mayonnaise, soy sauce, garlic, salt","Marinate and roast pork, then slice thinly. Fill a crisp baguette with pork, pickled vegetables, cilantro, and chili, and drizzle with a seasoned mayo."
Dominican,Dominican Specialty,"Dominican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dominican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Spanish Specialty,"Spanish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Spanish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indian,Butter Chicken,"chicken, butter, tomato puree, heavy cream, garlic, ginger, garam masala, cumin, coriander, turmeric, chili powder, salt","Marinate chicken with yogurt and spices. Sauté garlic and ginger in butter, add tomato puree and spices, then simmer. Add chicken and cream; cook until tender."
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Malaysian,Nasi Lemak,"rice, coconut milk, pandan leaves, anchovies, peanuts, boiled egg, sambal, cucumber, salt","Cook rice in coconut milk with pandan leaves. Fry anchovies and peanuts. Serve rice with boiled egg, sambal, and cucumber slices."
Ukrainian,Borscht,"beets, cabbage, potatoes, carrots, tomatoes, onions, garlic, dill, vinegar, salt, pepper","Boil vegetables in a savory broth, add vinegar and dill, then simmer until tender. Serve hot with a dollop of sour cream."
Vietnamese,Pho,"beef broth, rice noodles, thinly sliced beef, star anise, cinnamon, cloves, ginger, onions, fish sauce, bean sprouts, basil, lime","Simmer beef broth with spices and aromatics for several hours. Place rice noodles and beef in a bowl, pour over hot broth, and garnish with herbs and lime."
Singaporean,Hainanese Chicken Rice,"chicken, rice, ginger, garlic, pandan leaves, chicken broth, cucumber, chili sauce, salt, oil","Poach chicken with ginger and pandan leaves. Cook rice in chicken broth with garlic, then serve sliced chicken over the rice with cucumber and chili sauce."
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Italian,Italian Specialty,"Italian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Italian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dominican,Dominican Specialty,"Dominican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dominican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Moroccan,Moroccan Specialty,"Moroccan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Moroccan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ghanaian,Ghanaian Specialty,"Ghanaian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Ghanaian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nigerian,Nigerian Specialty,"Nigerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nigerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Malaysian,Malaysian Specialty,"Malaysian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Malaysian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Cambodian,Cambodian Specialty,"Cambodian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cambodian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
